,NO,Site,Result,TestName,Signal,Measure,LowLimit,HighLimit,Force
75,12,0,PASS,VIREF,VIREF,1.2462V,900.0000mV,1.3000V,0.0000A
76,13,0,PASS,Vref,CH_VCOMS_B1,1.2309V,0.0000V,3.0000V,0.0000A
77,13,0,PASS,Vref,CH_VCOMS_T1,1.2500V,0.0000V,3.0000V,0.0000A
78,13,0,PASS,Vref,CH_VREFN_B1,1.2494V,0.0000V,3.0000V,0.0000A
79,13,0,PASS,Vref,CH_VREFN_T1,1.2336V,0.0000V,3.0000V,0.0000A
80,13,0,PASS,Vref,CH_VREFP_B1,2.2821V,0.0000V,3.0000V,0.0000A
81,13,0,PASS,Vref,CH_VREFP_T1,2.2499V,0.0000V,3.0000V,0.0000A
82,13,0,PASS,Vref,CH_VRPGA_B1,1.3030V,0.0000V,3.0000V,0.0000A
83,13,0,PASS,Vref,CH_VRPGA_T1,1.2837V,0.0000V,3.0000V,0.0000A
84,13,0,PASS,Vref_Double,CH_VCOMS_B1,1.2319V,0.0000V,3.0000V,0.0000A
85,13,0,PASS,Vref_Double,CH_VCOMS_T1,1.2326V,0.0000V,3.0000V,0.0000A
86,13,0,PASS,Vref_Double,CH_VREFN_B1,1.2346V,0.0000V,3.0000V,0.0000A
87,13,0,PASS,Vref_Double,CH_VREFN_T1,1.2338V,0.0000V,3.0000V,0.0000A
88,13,0,PASS,Vref_Double,CH_VREFP_B1,2.2852V,0.0000V,3.0000V,0.0000A
89,13,0,PASS,Vref_Double,CH_VREFP_T1,2.2855V,0.0000V,3.0000V,0.0000A
90,13,0,PASS,Vref_Double,CH_VRPGA_B1,1.2844V,0.0000V,3.0000V,0.0000A
91,13,0,PASS,Vref_Double,CH_VRPGA_T1,1.2845V,0.0000V,3.0000V,0.0000A
92,14,0,PASS,Pix,CH_RSH1,4.2864V,3.9000V,4.5000V,0.0000A
93,14,0,PASS,Pix,CH_GRSTH1,4.3238V,3.9000V,4.5000V,0.0000A
94,14,0,PASS,Pix,CH_TX2L1,-1.1392V,-1.4000V,-1.0000V,0.0000A
95,14,0,PASS,Pix,CH_TX1L1,-1.1214V,-1.4000V,-1.0000V,0.0000A
96,14,0,PASS,Pix,CH_TX2H1,3.8342V,3.4000V,4.0000V,0.0000A
97,14,0,PASS,Pix,CH_TX1H1,3.7971V,3.4000V,4.0000V,0.0000A
98,14,0,PASS,Pix,CH_VDDCL1,768.8983mV,500.0000mV,900.0000mV,0.0000A
99,14,0,PASS,Pix,CH_GRSTL1,-433.2145mV,-700.0000mV,-300.0000mV,0.0000A
100,15,0,PASS,ATST_VBGR,Vref_VBGR.Vref_VBGR,SPI,FC(0),FA(0),None
101,15,0,PASS,ATST_VBGR,ATST1,1.2503V,1.0000V,1.3000V,0.0000A
102,14,0,PASS,Vref_VBN1,Vref_VBN1.Vref_VBN1,SPI,FC(0),FA(0),None
103,14,0,PASS,Vref_VBN1,ATST0,1.1173V,1.0000V,1.3000V,0.0000A
104,14,0,PASS,Vref_VBN1,ATST1,1.1130V,1.0000V,1.3000V,0.0000A
105,14,0,PASS,Vref_PGAOUT,Vref_PGAOUT.Vref_PGAOUT,SPI,FC(0),FA(0),None
106,14,0,PASS,Vref_PGAOUT,ATST0,1.3292V,1.1000V,1.4000V,0.0000A
107,14,0,PASS,Vref_PGAOUT,ATST1,1.3255V,1.1000V,1.4000V,0.0000A
108,14,0,PASS,Vref_VBias1,Vref_VBias1.Vref_VBias1,SPI,FC(0),FA(0),None
109,14,0,PASS,Vref_VBias1,ATST0,1.2135V,900.0000mV,1.3000V,0.0000A
110,14,0,PASS,Vref_VBias1,ATST1,1.2040V,900.0000mV,1.3000V,0.0000A
111,14,0,PASS,Vref_VBias2,Vref_VBias2.Vref_VBias2,SPI,FC(0),FA(0),None
112,14,0,PASS,Vref_VBias2,ATST0,1.2421V,900.0000mV,1.3000V,0.0000A
113,14,0,PASS,Vref_VBias2,ATST1,1.2062V,900.0000mV,1.3000V,0.0000A
114,14,0,PASS,Vref_VBias3,Vref_VBias3.Vref_VBias3,SPI,FC(0),FA(0),None
115,14,0,FAIL,Vref_VBias3,ATST0,78.7504mV,2.3000V,2.7000V,0.0000A
116,14,0,FAIL,Vref_VBias3,ATST1,48.4488mV,2.3000V,2.7000V,0.0000A
117,14,0,PASS,Vref_VBias4,Vref_VBias4.Vref_VBias4,SPI,FC(0),FA(0),None
118,14,0,PASS,Vref_VBias4,ATST0,933.7563mV,700.0000mV,1.0000V,0.0000A
119,14,0,PASS,Vref_VBias4,ATST1,896.2387mV,700.0000mV,1.0000V,0.0000A
120,14,0,PASS,IREF,Iref_IREF.Iref_IREF,SPI,FC(0),FA(0),None
121,14,0,PASS,IREF,ATST0_20K,1.1111V,700.0000mV,1.2000V,0.0000A
122,14,0,PASS,IREF,ATST1_20K,1.1066V,700.0000mV,1.2000V,0.0000A
123,14,0,PASS,Iref_PLL,Iref_PLL.Iref_PLL,SPI,FC(0),FA(0),None
124,14,0,PASS,Iref_PLL,ATAT2_20K,1.1929V,700.0000mV,1.3000V,0.0000A
125,14,0,PASS,ADC,ADC_config.ADC_config,SPI,FC(0),FA(0),None
126,14,0,PASS,ADC,ADC.ADC,SPI,FC(0),FA(0),None
127,999,0,PASS,AnalysisData_Dtstr1,-,-,-,-,-
128,14,0,PASS,ADC,compare,1.0000,0.0000,2.0000,
129,14,0,PASS,ADC,ADC.ADC,SPI,FC(0),FA(0),None
130,999,0,PASS,AnalysisData_Dtstr1,-,-,-,-,-
131,14,0,PASS,ADC,compare,1.0000,0.0000,2.0000,
132,14,0,PASS,SYNCGEN_test,SYNCGEN_config.SYNCGEN_config,SPI,FC(0),FA(0),None
133,14,0,PASS,SYNCGEN_test,SYNCGEN_test.SYNCGEN_test,SPI,FC(0),FA(0),None
134,999,0,PASS,AnalysisData_DTSTL4,-,-,-,-,-
135,14,0,PASS,SYNCGEN_test,compare,1.0000,0.0000,2.0000,
136,14,0,PASS,ADLG,ADLG_config.ADLG_config,SPI,FC(0),FA(0),None
137,14,0,PASS,ADLG,ADLG.ADLG,SPI,FC(0),FA(0),None
138,14,0,PASS,ADLG,compare,1.0000,0.0000,2.0000,
139,14,0,PASS,ADLG,ADLG.ADLG,SPI,FC(0),FA(0),None
